COMPARISON BETWEEN DIJKSTRA AND A*
----------------------------------
541.156466940943 km, 201 (dijkstra), 50 (a*)
484.1474309143706 km, 62 (dijkstra), 11 (a*)
1845.5145314271117 km, 899 (dijkstra), 322 (a*)
2024.9685041747937 km, 821 (dijkstra), 204 (a*)
1821.7672870744216 km, 915 (dijkstra), 140 (a*)
1312.6567998679675 km, 731 (dijkstra), 155 (a*)
1287.4382125484797 km, 581 (dijkstra), 237 (a*)
957.1939663628624 km, 295 (dijkstra), 94 (a*)
370.27162522354837 km, 290 (dijkstra), 75 (a*)
613.3338539871768 km, 311 (dijkstra), 52 (a*)
1234.068260924044 km, 446 (dijkstra), 66 (a*)
377.37150609709363 km, 115 (dijkstra), 20 (a*)
2632.012952556325 km, 1053 (dijkstra), 253 (a*)
1219.3606295363911 km, 709 (dijkstra), 148 (a*)
1475.1489736877643 km, 801 (dijkstra), 135 (a*)
1751.660330154094 km, 716 (dijkstra), 552 (a*)
2377.9360091119675 km, 903 (dijkstra), 358 (a*)
2524.093913517108 km, 777 (dijkstra), 255 (a*)
586.7711654770428 km, 163 (dijkstra), 31 (a*)
4955.128396837432 km, 1186 (dijkstra), 1011 (a*)
992.4569319853846 km, 437 (dijkstra), 67 (a*)
3094.526142564855 km, 971 (dijkstra), 269 (a*)
2826.1390608012584 km, 732 (dijkstra), 213 (a*)
3121.1372876894393 km, 1115 (dijkstra), 837 (a*)
1180.8207809497055 km, 729 (dijkstra), 127 (a*)
1889.961474944445 km, 1052 (dijkstra), 221 (a*)
2874.922704590532 km, 899 (dijkstra), 366 (a*)
2139.708513335079 km, 939 (dijkstra), 144 (a*)
702.1213181865609 km, 251 (dijkstra), 80 (a*)
569.6240810699545 km, 336 (dijkstra), 52 (a*)
1958.7542427261687 km, 887 (dijkstra), 190 (a*)
857.6760110611475 km, 416 (dijkstra), 137 (a*)
1770.5074332185002 km, 885 (dijkstra), 173 (a*)
749.1676885355166 km, 304 (dijkstra), 29 (a*)
1988.6526490426543 km, 723 (dijkstra), 173 (a*)
606.7118972873598 km, 298 (dijkstra), 36 (a*)
354.59588831286266 km, 85 (dijkstra), 34 (a*)
2692.3789005788335 km, 732 (dijkstra), 101 (a*)
331.6336861540596 km, 212 (dijkstra), 27 (a*)
1853.4417039065052 km, 553 (dijkstra), 128 (a*)
707.1015025840663 km, 193 (dijkstra), 74 (a*)
672.1905575703177 km, 707 (dijkstra), 88 (a*)
1120.9727937825912 km, 87 (dijkstra), 14 (a*)
2723.247429634006 km, 1070 (dijkstra), 272 (a*)
1768.5598379297774 km, 289 (dijkstra), 31 (a*)
850.1724206405077 km, 403 (dijkstra), 117 (a*)
2157.4928589336923 km, 1063 (dijkstra), 785 (a*)
2991.6439762999967 km, 1062 (dijkstra), 608 (a*)
3097.7679662280198 km, 1116 (dijkstra), 513 (a*)
1407.3355541396302 km, 1009 (dijkstra), 224 (a*)
2196.169143711378 km, 737 (dijkstra), 303 (a*)
1558.8556617804657 km, 757 (dijkstra), 158 (a*)
830.3322746980087 km, 541 (dijkstra), 117 (a*)
1674.2109415539367 km, 565 (dijkstra), 217 (a*)
669.4240998271324 km, 163 (dijkstra), 29 (a*)
3198.841115230599 km, 1111 (dijkstra), 695 (a*)
1543.7895486677278 km, 607 (dijkstra), 112 (a*)
476.5968518548448 km, 48 (dijkstra), 16 (a*)
417.92202189528024 km, 12 (dijkstra), 3 (a*)
1938.5372298023503 km, 286 (dijkstra), 142 (a*)
1719.6815693232625 km, 793 (dijkstra), 221 (a*)
2562.431065452888 km, 285 (dijkstra), 54 (a*)
1842.0874471444863 km, 866 (dijkstra), 109 (a*)
1261.284036780822 km, 740 (dijkstra), 147 (a*)
929.1308758822588 km, 368 (dijkstra), 149 (a*)
1413.073034080918 km, 514 (dijkstra), 72 (a*)
1912.0872601039168 km, 876 (dijkstra), 265 (a*)
1699.2274719529296 km, 901 (dijkstra), 44 (a*)
2481.0680972951777 km, 1051 (dijkstra), 174 (a*)
5654.381964039846 km, 1055 (dijkstra), 348 (a*)
3206.3329689018524 km, 796 (dijkstra), 245 (a*)
1535.0310083468478 km, 850 (dijkstra), 301 (a*)
1688.0333515061263 km, 731 (dijkstra), 315 (a*)
1220.2058769697685 km, 538 (dijkstra), 159 (a*)
3041.354090728271 km, 1066 (dijkstra), 545 (a*)
1893.0364484902009 km, 821 (dijkstra), 380 (a*)
2805.7011737767793 km, 1054 (dijkstra), 313 (a*)
2672.120005635569 km, 1101 (dijkstra), 258 (a*)
285.5215920812481 km, 93 (dijkstra), 20 (a*)
2104.540545550722 km, 778 (dijkstra), 487 (a*)
462.7655507425602 km, 67 (dijkstra), 21 (a*)
2195.3276885815717 km, 678 (dijkstra), 347 (a*)
5242.305031306985 km, 753 (dijkstra), 219 (a*)
426.2183570246352 km, 251 (dijkstra), 47 (a*)
2164.610944403538 km, 918 (dijkstra), 253 (a*)
2935.0064174667286 km, 936 (dijkstra), 350 (a*)
1163.585386379739 km, 24 (dijkstra), 10 (a*)
4908.958801728159 km, 1161 (dijkstra), 786 (a*)
1937.6870913547698 km, 908 (dijkstra), 299 (a*)
3275.551569171525 km, 791 (dijkstra), 324 (a*)
110.53215448394269 km, 34 (dijkstra), 5 (a*)
690.1272126761178 km, 221 (dijkstra), 36 (a*)
987.7409780346729 km, 569 (dijkstra), 171 (a*)
1468.428749300781 km, 928 (dijkstra), 263 (a*)
2032.3929691191004 km, 716 (dijkstra), 161 (a*)
1422.5705476069943 km, 453 (dijkstra), 155 (a*)
1413.8557301066417 km, 659 (dijkstra), 223 (a*)
1843.4345663409379 km, 871 (dijkstra), 332 (a*)
3308.431706520682 km, 1170 (dijkstra), 1109 (a*)
4316.51294014366 km, 1171 (dijkstra), 525 (a*)
1937.3259254723423 km, 900 (dijkstra), 236 (a*)
1494.4802730946535 km, 660 (dijkstra), 129 (a*)
4759.215692669551 km, 1181 (dijkstra), 665 (a*)
323.90547618573845 km, 144 (dijkstra), 27 (a*)
577.9721312749375 km, 372 (dijkstra), 30 (a*)
2226.036053791304 km, 556 (dijkstra), 103 (a*)
1158.2298825471753 km, 658 (dijkstra), 108 (a*)
735.2919785149147 km, 306 (dijkstra), 69 (a*)
1664.5416401088467 km, 792 (dijkstra), 93 (a*)
